Proyecto,Institucion,Colaborador,Nivel,Inst Colaborador,Especialidad
"""Desarrollo y evaluación comparativa de tres instrumentos para la administración de vacunas antisarampionosas por vía aerosol"".",Instituto Nacional De Salud Pública,Rocío Islas Romero,,Instituto Nacional De Salúd Pública,Salud Pública
"""Dejando Huellitas en tu Vida""instrumentación de un programa habilidades sociales para niños/as de segundo a quinto año de primaria para disminuir problemas conductuales y de salud mental","Instituto Nacional De Psiquiatría ""Ramon De La Fuente Muñiz""",Ma. de Lourdes Gutiérrez López,,"Instituto Nacional De Psiquiatría ""Ramon De La Fuente Muñiz""",
ÓRTESIS PARA EL CONTROL DE LA ALINEACIÓN METATARSO-FALÁNGICA POSTERIOR AL TRATAMIENTO QUIRÚRGICO CORRECTIVO DE HALLUX VALGUS POR TÉCNICA MÍNIMAMENTE INVASIVA.,Centro Nacional De Rehabilitación,Raúl Peralta Hernández,,Centro Nacional De Rehabilitación,Ortesis y Prótesis
BIOMARCADORES PARA MESOTELIOMA PLEURAL EN DERECHOHABIENTES DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Javier Kelly García,,Instituto Mexicano del Seguro Social - HOSPITAL DE ONCOLOGIA CMNSXXI,Cirugía Oncológica y de tórax
RELACIÓN DEL CONSUMO DE REFRESCOS Y OSTEOPOROSIS EN MUJERES POSMENOPÁUSICAS,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",José Ramón Paniagua Sierra,Nivel 2,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Nefrología
RELACIÓN ENTRE FLORA BACTERIANA INTESTINAL INFLAMACIÓN Y SÍNDROME DE INTESTINO IRRITABLE: EFECTO DEL USO DE UNA BEBIDA LACTEA CON Lactobacillus casei,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Max Schmulson Wasserman,Nivel 1,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Gastroenterología
RELACIÓN ENTRE FLORA BACTERIANA INTESTINAL INFLAMACIÓN Y SÍNDROME DE INTESTINO IRRITABLE: EFECTO DEL USO DE UNA BEBIDA LACTEA CON Lactobacillus casei,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Miguel Angel Valdovinos Díaz,,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Gastroenterología
BIOMARCADORES PARA MESOTELIOMA PLEURAL EN DERECHOHABIENTES DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",María Dolores Ochoa Vázquez,,"Instituto Mexicano del Seguro Social CMN ""LA RAZA""",Neumología
"RESCATANDO LA EXPERIENCIA DE LA ""CASA DE LA MUJER INDÍGENA"": SISTEMATIZACIÓN Y EVALUACIÓN DEL PROCESO",Instituto Nacional De Salud Pública,Paloma Bonfil Sánchez,,Comisión Nacional Para El Desarrollo De Los Pueblos Indigenas,ANTROPOLOGÍA CULTURAL
"RESCATANDO LA EXPERIENCIA DE LA ""CASA DE LA MUJER INDÍGENA"": SISTEMATIZACIÓN Y EVALUACIÓN DEL PROCESO",Instituto Nacional De Salud Pública,MARY CARMEN REYES,,Comisión Nacional Para El Desarrollo De Los Pueblos Indigenas,
