TITULO DEL PROYECTO,INSTITUCION,RESPONSABLE,NIVEL,DEMANDA
CORRELACIÓN DE LOS NIVELES DE EXPRESIÓN DE FACTORES TRANSCRIPCIONALES EN TEJIDO ADIPOSO Y SANGUINEO PARA LA DETERMINACIÓN DE BIOMARCADORES DE RESPUESTA A UN TRATAMIENTO EJERCICIO Y DIETA PARA PERSONAS OBESAS CON Y SIN ESTEATOSIS,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Aarón Domínguez López,1,Salud Ambiental y Riesgos Derivados por los Cambios Climáticos
DISEÑO Y ESTUDIO DE CRIOPROTECTOR BASADO EN PROTEÍNAS ANTICONGELANTES PARA CRIOPRESERVACIÓN DE CORAZÓN CON FINES DE TRASPLANTE,"Centro Médico Nacional 20 de Noviembre, ISSSTE",Abel Archúndia García,,Desarrollo y Evaluación de Tecnologías para la Salud
Ventriculoplastía con células tallo autólogas implantadas en infartos miocárdicos antiguos,"Centro Médico Nacional 20 de Noviembre, ISSSTE",Abel Archúndia García,,Enfermedades crónicas o degenerativas
BÚSQUEDA DE TROMBOFILIA INDUCIDA POR LA TERAPIA HORMONAL ANTICONCEPTIVA EN MUJERES MEXICANAS,Instituto Mexicano del Seguro Social,Abraham Salvador Majluf Cruz,2,Salud Reproductiva y Perinatal
Escaneo genómico completo del paciente con diabetes tipo 2 para la búsqueda de nuevos marcadores de asociación con la enfermedad,Instituto Mexicano del Seguro Social,ADAN VALLADARES SALGADO,1,Factores genéticos y ambientales que modifican el riesgo de desarrollar diabetes y obesidad en poblaciones.
PREVENCIÓN TEMPRANA DE HIPERTENSIÓN ARTERIAL. ESTUDIO MULTICÉNTRICO Y MULTIDISCIPLINARIO. PRIMERA FASE: INTEGRACIÓN DE UNA COHORTE DE SUJETOS DE ALTO RIESGO PARA EL DESARROLLO DE HIPERTENSIÓN. (GEMPHI),Instituto Mexicano del Seguro Social,Adolfo José Chávez Negrete,1,Enfermedades crónicas o degenerativas
ESCLEROSIS MÚLTIPLE: IDENTIFICACIÓN MICROSCÓPICA DEL VIRUS DE LA VARICELA EN DIVERSAS MANIFESTACIONES CLÍNICAS,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Adolfo Martínez Palomo,3,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
"Estudio de los genes de resistencia a multidrogas de la familia (ABC-B1,B7,B11) y del polimorfimo C3435T en pacientes con leucemia aguda y su impacto clínico.","Hospital General ""Dr. Manuel Gea González""",Adolfo Martínez Tovar,Candidato,Neoplasias malignas
Factores inmunológicos y virales asociados con la recurrencia post-tratamiento de pacientes con neoplasia intraepitelial cervical II-III.,Universidad De Guadalajara,Adrián Daneri Navarro,1,Neoplasias malignas
Perfil de expresión de mirnas y citocinas asociados con la inflamación en niños y adultos con infecciones respiratorias agudas como biomarcadores de gravedad,Universidad Autónoma De Nuevo León,ADRIAN GEOVANNI ROSAS TARACO,1,Enfermedades Infecciosas y Parasitarias
