Campo1,TITULO DEL PROYECTO
2009,"""Dejando Huellitas en tu Vida""instrumentación de un programa habilidades sociales para niños/as de segundo a quinto año de primaria para disminuir problemas conductuales y de salud mental"
2009,"""Estudio ex vivo de la regulación epigenética de un grupo de genes relacionados con la obesidad"""
2009,"""IDENTIFICACIÓN DE TIPOS, SUBTIPOS Y VARIANTES DEL VIRUS DE INFLUENZA MEDIANTE TESSARRAY RPM: RE-SECUENCIACIÓN DE PATÓGENOS CON MICROARREGLOS"""
2006,"""SIMVASTATINA MÁS INULINA VS SIMVASTATINA MÁS EZETIMIBE EN EL TRATAMIENTO DE DISLIPIDEMIAS"""
2009,"CORRELACIÓN DE LA CODELECION 1p 19q CON LA EXPRESIÓN DE LA APOPTOSIS, Y SU RELACIÓN CON LA RESPUESTA A TRATAMIENTO Y SOBREVIDA EN NIÑOS CON ASTROCITOMA"
2007,"EDUCAR PARA PREVENIR: IMPLEMENTACIÓN Y VALIDACIÓN DE UNA ESTRATEGIA EDUCATIVA EN ESCUELAS PRIMARIAS DE TAPACHULA, CHIAPAS, PARA LA PREVENCIÓN DEL DENGUE."
2010,FRECUENCIA DE CÉLULAS NKT Y SU EXPRESIÓN GÉNICA EN PACIENTES PEDIÁTRICOS CON DIABETES TIPO 1.
2009,PUEDE UNA MANIOBRA DE INTERVENCIÓN INFORMATIVA DISMINUIR EL NIVEL DE COTININA URINARIA EN PACIENTES PEDIÁTRICOS CON TABAQUISMO PASIVO?
2008,USO DE UN POLÍMERO BIODEGRADABLE PARA LA LIBERACIÓN DEL GEN DE LA IL-12 EN UN MODELO EXPERIMENTAL TUMORAL MURINO VPH POSITIVO COMO TERAPIA LOCAL NO INVASIVA CONTRA EL CÁNCER CERVICAL.
2007,REGULACIÓN DE LAS PROTEÍNAS DE MULTI-RESISTENCIA A DROGAS POR EL FACTOR DE TRENSCRIPCIÓN YIN-YANG 1 (YY1) EN LA LEUCEMIA LINFOCÍTICA AGUDA: IMPLICACIONES PARA LA PRÁCTICA CLÍNICA
2013,ABORDAJE FÁRMACOGENÓMICO PARA EL ESTUDIO DE LA QUIMIOTERAPIA INSTITUCIONAL PARA CÁNCER GÁSTRICO
