"TÍTULO DEL PROYECTO",INSTITUCIÓN,"NOMBRE COLABORADOR","NIVEL S.N.I. COLABORADOR","INSTITUCIÓN COLABORADOR",ESPECIALIDAD
"Mortalidad materna (MM) en regiones indígenas: Una propuesta metodológica para identificar a municipios de alto riesgo en salud materna","Centro De Investigaciones Y Estudios Superiores En Antropologia Social (Ciesas)","Dra. Paola Ma. Sesia Arcozzi-Masino","Nivel 1","Centro Investigaciones Estudios Superiores En Antropología Social","Antropología Mèdica"
"La percepción del riesgo de padecer algún tipo de complicación en pacientes con diabetes mellitus tipo 2","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Sergio López Alonso","Nivel 2","Escuela Nacional de Antropología e Historia",ANTROPOLOGIA
"Implantación y evaluación de una intervención contra el tabaquismo en secundarias de 10 estados de México","Instituto Nacional De Salud Publica","James  Thrasher",,"University of North Carolina","Educación y Comunicación"
"La participación de los jóvenes en la prevención de los accidentes de tráfico en la Ciudad de Cuernavaca: diseño y evaluación de una campaña informativa a partir de la investigación.","Instituto Nacional De Salud Publica","Gerardo mora  flores",,"Instituto Nacional De Salud Pùblica","Antropología médica"
"ELABORACIÓN DE MONOGRAFÍAS CIENTÍFICAS DE PLANTAS SELECTAS DE AMPLIO USO EN LA MEDICINA TRADICIONAL MEXICANA CON BASE EN LOS CRITERIOS PROPUESTOS POR LA ORGANIZACIÓN MUNDIAL DE LA SALUD","Universidad Nacional Autonoma De Mexico","Francisco García Fajardo",,"Instituto Nacional de Antropología e Historia","Antropología médica"
"Biblioteca de Medios Audiovisuales de Educación Para la Salud en Discapacidad y Rehabilitación.","Centro Nacional De Rehabilitacion","María Teresa Odor Chávez",,"Centro Nacional De Rehabilitación","Diseño Gráfico"
"Biblioteca de Medios Audiovisuales de Educación Para la Salud en Discapacidad y Rehabilitación.","Centro Nacional De Rehabilitacion","Marina Castilla Odor",,"Centro Nacional De Rehabilitación",Fotografía
"Percutor implantable para aceleración de la consolidación de no-unionesóseas","Centro Nacional De Rehabilitacion","Hugo Lecona Butrón",,"Centro Nacional De Rehabilitacion","Cirugía Experimental"
"Trasplante de células autólogas para la regeneración de cartílago articular como alternativa para reducir el costo de la atención de la osteoartriris.","Centro Nacional De Rehabilitacion","José  German Lombardero",,"Facultad de Medicina Veterinaria y Zootecnia","Cirugía , Equinos."
"Trasplante de células autólogas para la regeneración de cartílago articular como alternativa para reducir el costo de la atención de la osteoartriris.","Centro Nacional De Rehabilitacion","Maria  Masri Daba",,"Universidad Nacional Autónoma De México","Medicina Interna Equinos"
