"TITULO DEL PROYECTO",INSTITUCIÓN,"RESPONSABLE TÉCNICO","NIVEL S.N.I.",DEMANDA
"DETERMINACION DEL IMPACTO ECONOMICO DE LAS ENFERMEDADES REUMATICAS. ESTUDIO MULTICENTRICO DE ENFERMOS CON ESPONDILITIS ANQUILOSANTE (EA), ARTRITIS REUMATOIDE (AR) Y GOTA ","Hospital General de México","Ruben Burgos Vargas",3,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"COLABORACION PUBLICO - PRIVADO EN LA PRESTACION DE SERVICIOS DE SALUD EN MEXICO Y EL PAPEL DEL ESTADO EN SU REGULACION ","Fundación Mexicana para la Salud","Gustavo Humberto Nigenda López",2,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"INTEGRACION DE LAS BASES CIENTIFICAS, CLINICAS Y DESARROLLO TECNOLOGICO PARA LA OBTENCION DE UN FITOFARMACO ANTIHIPERTENSIVO A PARTIR DE UN EXTRACTO ESTANDARIZADO DE HIBISCUS SABDARIFFA","Instituto Mexicano del Seguro Social","Jaime Tortoriello García",3,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"PREVENCION DE LA ANEMIA NUTRICIONAL  EN LOS NIÑOS MENORES DE UN AÑO DE EDAD","Instituto Mexicano del Seguro Social","Rosa Isela Ramos Hernández",,"Trastornos de la Nutrición"
"PATRONES QUIMICO-ECOLOGICOS DETERMINANTES EN LA TRANSMISION DEL PALUDISMO EN MEXICO","Centro de Investigación en Paludismo","Jose Luis Torres Estrada",1,"Enfermedades Infecciosas y Parasitarias"
"ALIANZA PARA EL ESTUDIO Y CONTROL DEL CANCER CERVICOUTERINO EN MEXICO","Instituto Nacional de Cancerología","Jaime Guadalupe De la Garza Salazar",2,"Neoplasias malignas"
"ANALISIS MOLECULAR EN LA ENFERMEDAD DE PARKINSON","Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez""","María Elisa Alonso Vilatela",3,"Trastornos Psiquiátricos o Neurológicos"
"PERSPECTIVAS DE MEJORA DE LA EFICIENCIA TECNICA DE LA ATENCION PRIMARIA AL DIABETICO: EL CASO DE DOS ORGANIZACIONES DE SEGURIDAD SOCIAL EN UN PAIS DE ECONOMIA EMERGENTE","Instituto Mexicano del Seguro Social","Ana Maria Salinas Martínez",1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"ESTUDIO INTEGRAL DE LA DEPRESION EN EL ANCIANO. FACTORES DETERMINANTES Y  RELACION CON DETERIORO COGNITIVO . ","Instituto Mexicano del Seguro Social","María del Carmen García Peña",2,"Trastornos Psiquiátricos o Neurológicos"
"RIESGO EN SALUD POR LA EXPOSICION A DIOXINAS EN SALAMANCA, GUANAJUATO ","Universidad Autónoma de San Luis Potosí","Leticia Guadalupe Yáñez Estrada",1,"Enfermedades crónicas o degenerativas"
"ESTUDIO SOBRE LA HISTORIA NATURAL DE ULCERA DUODENAL Y CANCER GASTRICO ASOCIADOS A LA INFECCION POR HELICOBACTER PYLORI; FACTORES AMBIENTALES, DEL HUESPED Y DE LA BACTERIA ASOCIADOS A ENFERMEDAD.","Instituto Mexicano del Seguro Social","Francisco Javier Torres López",3,"Neoplasias malignas"
"FARMACOCINETICA DE CEFEPIME EN NEONATOS CON INFECCIONES NOSOCOMIALES GRAVES","Universidad Autónoma de San Luis Potosí","Silvia Romano Moreno",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"Estudio electroencefalográfico en niños y adolescentes con Trastorno por Deficit de Atencion ","Instituto Nacional de Psiquiatría ""Ramón de La Fuente Muñiz""","Josefina Ricardo Garcell",2,"Desarrollo y Evaluación de Tecnologías para la Salud"
"CARACTERIZACION DE LA SEÑALIZACION ENTRE LEUCOCITOS Y CELULAS DEL CORIOAMNIOS  EN EL DESARROLLO DELA RUPTURA PREMATURA DE MEMBRANAS.","Instituto Nacional de Perinatología","Felipe Vadillo Ortega",3,"Enfermedades crónicas o degenerativas"
