"Año Convocatoria",Titulo
2002,"DETERMINACION DEL IMPACTO ECONOMICO DE LAS ENFERMEDADES REUMATICAS. ESTUDIO MULTICENTRICO DE ENFERMOS CON ESPONDILITIS ANQUILOSANTE (EA), ARTRITIS REUMATOIDE (AR) Y GOTA "
2002,"COLABORACION PUBLICO - PRIVADO EN LA PRESTACION DE SERVICIOS DE SALUD EN MEXICO Y EL PAPEL DEL ESTADO EN SU REGULACION "
2002,"INTEGRACION DE LAS BASES CIENTIFICAS, CLINICAS Y DESARROLLO TECNOLOGICO PARA LA OBTENCION DE UN FITOFARMACO ANTIHIPERTENSIVO A PARTIR DE UN EXTRACTO ESTANDARIZADO DE HIBISCUS SABDARIFFA"
2002,"PREVENCION DE LA ANEMIA NUTRICIONAL  EN LOS NIÑOS MENORES DE UN AÑO DE EDAD"
2002,"PATRONES QUIMICO-ECOLOGICOS DETERMINANTES EN LA TRANSMISION DEL PALUDISMO EN MEXICO"
2002,"ALIANZA PARA EL ESTUDIO Y CONTROL DEL CANCER CERVICOUTERINO EN MEXICO"
2002,"ANALISIS MOLECULAR EN LA ENFERMEDAD DE PARKINSON"
2002,"PERSPECTIVAS DE MEJORA DE LA EFICIENCIA TECNICA DE LA ATENCION PRIMARIA AL DIABETICO: EL CASO DE DOS ORGANIZACIONES DE SEGURIDAD SOCIAL EN UN PAIS DE ECONOMIA EMERGENTE"
2002,"ESTUDIO INTEGRAL DE LA DEPRESION EN EL ANCIANO. FACTORES DETERMINANTES Y  RELACION CON DETERIORO COGNITIVO . "
2002,"RIESGO EN SALUD POR LA EXPOSICION A DIOXINAS EN SALAMANCA, GUANAJUATO "
2002,"ESTUDIO SOBRE LA HISTORIA NATURAL DE ULCERA DUODENAL Y CANCER GASTRICO ASOCIADOS A LA INFECCION POR HELICOBACTER PYLORI; FACTORES AMBIENTALES, DEL HUESPED Y DE LA BACTERIA ASOCIADOS A ENFERMEDAD."
2002,"FARMACOCINETICA DE CEFEPIME EN NEONATOS CON INFECCIONES NOSOCOMIALES GRAVES"
2002,"Estudio electroencefalográfico en niños y adolescentes con Trastorno por Deficit de Atencion "
2002,"CARACTERIZACION DE LA SEÑALIZACION ENTRE LEUCOCITOS Y CELULAS DEL CORIOAMNIOS  EN EL DESARROLLO DELA RUPTURA PREMATURA DE MEMBRANAS."
2002,"PROGRAMA DE EDUCACION PARA LA SALUD AMBIENTAL INFANTIL: IMPLEMENTACION DE TALLERES DE EDUCACION INFANTIL PARA SITIOS CONTAMINADOS."
2002,"UN NUEVO ENFOQUE PARA EL ESTUDIO Y CONOCIMIENTO CLINICO-MOLECULAR DE ENFERMEDADES MUSCULARES EN MEXICO: DISTROFIA MUSCULAR Y MIOPATIA MITOCONDRIAL"
2002,"CREACION DE UNA CLINICA UNIVERSITARIA PARA EL DIAGNOSTICO Y TRATAMIENTO DE NIÑOS CON ANTECEDENTES PRE O PERINATALES DE RIESGO DE DAÑO CEREBRAL"
2002,"DIETARY-GENE INTERACTIONS FOR GASTRIC CANCER RISK AND SURVIVAL."
2002,"UNA HUELLA GENETICA PARA DETERMINAR LA SUSCEPTIBILIDAD AL DESARROLLO DEL CANCER CERVICO UTERINO MEDIADA POR  LA INFECCION DEL VIRUS DEL PAPILOMA HUMANO: GENOMICA DE LOS GENES P53 Y E6 VIRAL"
2002,"QUINCE AÑOS DEL ESTUDIO PROSPECTIVO DE PLOMO EN MEXICO: UN ANALISIS INTEGRAL "
2002,"MARCADORES GENETICOS EN SINDROMES CORONARIOS AGUDOS Y SU RELACION CON EVENTOS CARDIOVASCULARES ADVERSOS."
