Arroba Ingenieria S.A De C.V.,6,Arroba Ingenieria S.A De C.V.
Aspid S.A De C.V.,6,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran"""
Benemérita Universidad Autónoma De Puebla,45,Benemerita Universidad Autónoma De Puebla
Benemérita Universidad Autónoma De Puebla,11,Benemérita Universidad Autónoma De Puebla
Benemérita Universidad Autónoma De Puebla,1,Benemérita Universidad Autónoma De Puebla - Facultad De Medicina - Colaboradora Posgrado
Benemérita Universidad Autónoma De Puebla,55,"Secretaria De Salud - Hospital Psiquiátrico ""Dr. Rafael Serrano"" Estado De Puebla"
Benemérita Universidad Autónoma De Puebla,11,Universidad Autónoma De Puebla Facultad De Ciencias Químicas De La
Benemérita Universidad Autónoma De Puebla,4,Universidad Nacional Autónoma De México Unam
Ccentro De Investigación Y Desarrollo Tecnológico En Electroquímica (Cidetec)S.C.,12,Ccentro De Investigación Y Desarrollo Tecnológico En Electroquímica (Cidetec)S.C.
Ccentro De Investigación Y Desarrollo Tecnológico En Electroquímica (Cidetec)S.C.,4,"Instituto Nacional De Cardiología ""Ignacio Chavez"""
Centro De Ingeniería Y Desarrollo Industrial (Cidesi),16,
Centro De Ingeniería Y Desarrollo Industrial (Cidesi),8,Centro De Ingenieria Y Desarrollo Industrial
Centro De Ingeniería Y Desarrollo Industrial (Cidesi),30,Centro De Ingenieria Y Desarrollo Industrial (Cidesi)
Centro De Ingeniería Y Desarrollo Industrial (Cidesi),12,Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav)
Centro De Ingeniería Y Desarrollo Industrial (Cidesi),32,Instituto De Corazon De Queretaro
Centro De Ingeniería Y Desarrollo Industrial (Cidesi),18,Instituto Tecnologico De Morelia
Centro De Innovación Aplicada En Tecnologías Competitivas (Ciatec A.C.),4,
Centro De Innovación Aplicada En Tecnologías Competitivas (Ciatec A.C.),7,Centro De Investigación Y Asistencia En Tecnología Y Diseño Del Estado De Jalisco A.C (Ciatej)
Centro De Innovación Aplicada En Tecnologías Competitivas (Ciatec A.C.),21,Consejo Nacional De Ciencia Y Tecnología Conacyt
Centro De Innovación Aplicada En Tecnologías Competitivas (Ciatec A.C.),14,Instituto Nacional De Rehabilitación
Centro De Innovación Aplicada En Tecnologías Competitivas (Ciatec A.C.),4,Unidad Medica De Alta Especialidad T1
Centro De Innovación Aplicada En Tecnologías Competitivas (Ciatec A.C.),4,Universidad Autónoma De Coahuila
Centro De Innovación Aplicada En Tecnologías Competitivas (Ciatec A.C.),7,Universidad Autónoma De Guanajuato
Centro De Investigación Científica Y De Educación Superior De Ensenada B. C.,21,
Centro De Investigación Científica Y De Educación Superior De Ensenada B. C.,6,Centro De Investigacion Cientifica De Yucatán A.C.
Centro De Investigación Científica Y De Educación Superior De Ensenada B. C.,17,Centro De Investigacion Cientifica Y De Educacion Superior De Ensenada B.C.(Cicese)
Centro De Investigación Científica Y De Educación Superior De Ensenada B. C.,7,City University London. Optometry And Visual Science
Centro De Investigación Científica Y De Educación Superior De Ensenada B. C.,6,Consejo Nacional De Ciencia Y Tecnología Conacyt
Centro De Investigación Científica Y De Educación Superior De Ensenada B. C.,6,Instituto Tecnologico Del Mar No. 2 Mazatlan
Centro De Investigación Científica Y De Educación Superior De Ensenada B. C.,3,Satnford University
Centro De Investigación Científica Y De Educación Superior De Ensenada B. C.,10,Universidad Autónoma De Baja California
Centro De Investigación Científica Y De Educación Superior De Ensenada B. C.,6,Universidad Nacional Autónoma De México Unam
Centro De Investigación Científica Y De Educación Superior De Ensenada B. C.,6,Universidad Veracruzana
Centro De Investigación En Alimentación Y Desarrollo A.C. (Ciad),86,
Centro De Investigación En Alimentación Y Desarrollo A.C. (Ciad),149,Centro De Investigación En Alimentación Y Desarrollo A.C. (Ciad)
Centro De Investigación En Alimentación Y Desarrollo A.C. (Ciad),149,Consejo Nacional De Ciencia Y Tecnología Conacyt
Centro De Investigación En Alimentación Y Desarrollo A.C. (Ciad),12,Eastern Regional Research Center Naa Ars Usda
Centro De Investigación En Alimentación Y Desarrollo A.C. (Ciad),14,Facultad De Enfermería Y Nutriología Universidad Autónoma De Chihuahua
Centro De Investigación En Alimentación Y Desarrollo A.C. (Ciad),6,Gobierno Del Estado De Sonora
Centro De Investigación En Alimentación Y Desarrollo A.C. (Ciad),2,Hospital Ignacio Chávez Issste Sonora
Centro De Investigación En Alimentación Y Desarrollo A.C. (Ciad),4,Instituto Mexicano Del Seguro Social - Hospital De Pediatría Uimeip Cmn Sxxi
Centro De Investigación En Alimentación Y Desarrollo A.C. (Ciad),4,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran"""
Centro De Investigación En Alimentación Y Desarrollo A.C. (Ciad),6,Instituto Tecnologico De Nuevo Leon - Sep
